product_id,district_id,date,percent_access,engagement_index
77832,1712,2020-02-21,3.66,114.77
32340,1712,2020-02-21,0.2,24.14
85975,1712,2020-02-21,0.72,109.72
43494,1712,2020-02-21,0.0,0.0
83248,1712,2020-02-21,0.02,0.88
36102,1712,2020-02-21,0.44,142.2
42725,1712,2020-02-21,0.31,8.78
11237,1712,2020-02-21,0.13,23.04
70167,1712,2020-02-21,0.04,2.19
34983,1712,2020-02-21,0.26,23.04
44025,1712,2020-02-21,0.31,63.86
58616,1712,2020-02-21,0.09,3.95
14769,1712,2020-02-21,1.21,193.33
38876,1712,2020-02-21,0.02,7.24
94824,1712,2020-02-21,0.0,0.0
59808,1712,2020-02-21,0.04,2.19
52196,1712,2020-02-21,0.13,17.56
75287,1712,2020-02-21,0.02,0.88
46123,1712,2020-02-21,0.07,1.76
55589,1712,2020-02-21,0.99,224.71
76219,1712,2020-02-21,0.26,31.82
13117,1712,2020-02-21,0.53,38.18
57486,1712,2020-02-21,0.11,93.92
57343,1712,2020-02-21,0.02,0.44
63335,1712,2020-02-21,0.09,14.04
96706,1712,2020-02-21,0.18,57.49
32600,1712,2020-02-21,0.02,0.44
28939,1712,2020-02-21,0.0,0.0
72604,1712,2020-02-21,0.02,0.44
99674,1712,2020-02-21,0.09,1.97
11286,1712,2020-02-21,0.18,3.95
72460,1712,2020-02-21,0.02,0.44
47698,1712,2020-02-21,0.02,3.07
68713,1712,2020-02-21,0.0,0.0
42091,1712,2020-02-21,0.04,0.88
54794,1712,2020-02-21,0.04,3.29
75451,1712,2020-02-21,0.57,37.09
41980,1712,2020-02-21,0.02,4.83
85952,1712,2020-02-21,0.11,11.63
16406,1712,2020-02-21,0.33,134.3
77698,1712,2020-02-21,0.13,7.46
69568,1712,2020-02-21,0.02,1.76
88925,1712,2020-02-21,0.7,33.36
72784,1712,2020-02-21,0.02,0.88
66838,1712,2020-02-21,0.24,30.28
42173,1712,2020-02-21,0.02,1.76
68019,1712,2020-02-21,0.53,99.85
88721,1712,2020-02-21,0.02,0.88
93684,1712,2020-02-21,1.03,60.35
26533,1712,2020-02-21,0.31,15.14
50479,1712,2020-02-21,3.93,811.28
92140,1712,2020-02-21,0.48,21.29
91165,1712,2020-02-21,2.66,493.09
30851,1712,2020-02-21,0.09,5.27
94443,1712,2020-02-21,0.02,3.51
54827,1712,2020-02-21,2.72,762.56
36571,1712,2020-02-21,0.0,0.0
54430,1712,2020-02-21,0.5,38.84
61755,1712,2020-02-21,0.02,0.44
86775,1712,2020-02-21,0.13,7.9
52430,1712,2020-02-21,0.02,0.44
88633,1712,2020-02-21,0.02,0.44
15254,1712,2020-02-21,2.98,628.04
26372,1712,2020-02-21,0.02,0.88
97280,1712,2020-02-21,1.45,600.18
31985,1712,2020-02-21,0.02,0.44
51340,1712,2020-02-21,1.08,39.06
58840,1712,2020-02-21,0.02,0.44
22773,1712,2020-02-21,0.02,0.44
53533,1712,2020-02-21,0.02,3.07
56028,1712,2020-02-21,0.07,1.97
76229,1712,2020-02-21,1.25,239.85
16753,1712,2020-02-21,1.25,227.56
98265,1712,2020-02-21,3.71,222.73
66933,1712,2020-02-21,0.02,0.44
16401,1712,2020-02-21,0.29,9.87
81189,1712,2020-02-21,0.15,4.83
52758,1712,2020-02-21,0.0,0.0
27940,1712,2020-02-21,0.04,0.88
56198,1712,2020-02-21,0.02,0.88
18449,1712,2020-02-21,0.02,0.44
49785,1712,2020-02-21,0.0,0.0
61384,1712,2020-02-21,3.31,858.24
47364,1712,2020-02-21,0.0,0.0
90153,1712,2020-02-21,0.53,61.88
44807,1712,2020-02-21,0.02,0.44
37153,1712,2020-02-21,1.49,314.24
34887,1712,2020-02-21,0.02,3.51
63178,1712,2020-02-21,0.11,7.9
27232,1712,2020-02-21,0.09,2.19
64504,1712,2020-02-21,0.0,0.0
13591,1712,2020-02-21,0.26,27.65
37479,1712,2020-02-21,0.0,0.0
77640,1712,2020-02-21,0.0,0.0
47261,1712,2020-02-21,0.04,16.9
92918,1712,2020-02-21,0.09,4.39
93690,1712,2020-02-21,0.07,1.76
53399,1712,2020-02-21,0.0,0.0
52850,1712,2020-02-21,0.02,0.44
70972,1712,2020-02-21,0.02,0.44
68366,1712,2020-02-21,0.02,0.44
49619,1712,2020-02-21,0.02,0.44
83862,1712,2020-02-21,0.13,2.85
44114,1712,2020-02-21,0.02,4.61
36620,1712,2020-02-21,0.15,27.87
56441,1712,2020-02-21,0.02,0.88
84007,1712,2020-02-21,0.04,0.88
57724,1712,2020-02-21,0.04,15.36
26696,1712,2020-02-21,0.0,0.0
78818,1712,2020-02-21,0.24,10.97
95859,1712,2020-02-21,0.02,1.32
85072,1712,2020-02-21,0.07,7.02
80624,1712,2020-02-21,0.02,0.44
22856,1712,2020-02-21,0.02,0.44
41424,1712,2020-02-21,0.04,3.07
40928,1712,2020-02-21,0.11,3.07
89688,1712,2020-02-21,2.08,314.68
37447,1712,2020-02-21,0.2,20.63
45815,1712,2020-02-21,0.02,0.44
