product_id,district_id,date,percent_access,engagement_index
13591,1270,2020-01-01,0.03,0.6
65277,1270,2020-01-01,0.0,0.0
61441,1270,2020-01-01,0.0,0.0
57084,1270,2020-01-01,0.12,2.68
90153,1270,2020-01-01,0.0,0.0
78730,1270,2020-01-01,0.03,2.09
64915,1270,2020-01-01,0.0,0.0
47364,1270,2020-01-01,0.18,9.24
77430,1270,2020-01-01,0.0,0.0
57949,1270,2020-01-01,0.03,0.3
40967,1270,2020-01-01,0.0,0.0
61945,1270,2020-01-01,0.0,0.0
13945,1270,2020-01-01,0.0,0.0
73101,1270,2020-01-01,0.0,0.0
16164,1270,2020-01-01,0.0,0.0
98265,1270,2020-01-01,0.03,1.19
28504,1270,2020-01-01,0.03,0.89
48165,1270,2020-01-01,0.0,0.0
95731,1270,2020-01-01,0.06,2.98
72468,1270,2020-01-01,0.0,0.0
10533,1270,2020-01-01,0.0,0.0
43491,1270,2020-01-01,0.03,27.73
28324,1270,2020-01-01,0.0,0.0
16401,1270,2020-01-01,0.0,0.0
29790,1270,2020-01-01,0.0,0.0
72758,1270,2020-01-01,0.0,0.0
99916,1270,2020-01-01,0.03,0.3
65358,1270,2020-01-01,0.0,0.0
92993,1270,2020-01-01,0.03,10.14
24829,1270,2020-01-01,0.0,0.0
70167,1270,2020-01-01,0.0,0.0
55007,1270,2020-01-01,0.0,0.0
52758,1270,2020-01-01,0.0,0.0
26488,1270,2020-01-01,0.0,0.0
50129,1270,2020-01-01,0.0,0.0
69827,1270,2020-01-01,0.06,0.89
51340,1270,2020-01-01,0.03,0.6
54827,1270,2020-01-01,0.0,0.0
26372,1270,2020-01-02,0.0,0.0
90556,1270,2020-01-02,0.0,0.0
43430,1270,2020-01-02,0.03,0.3
97209,1270,2020-01-02,0.0,0.0
13945,1270,2020-01-02,0.0,0.0
86812,1270,2020-01-02,0.0,0.0
68019,1270,2020-01-02,0.0,0.0
61441,1270,2020-01-02,0.03,0.3
76122,1270,2020-01-02,0.0,0.0
31827,1270,2020-01-02,0.0,0.0
57084,1270,2020-01-02,0.06,3.88
25101,1270,2020-01-02,0.0,0.0
94984,1270,2020-01-02,0.0,0.0
72703,1270,2020-01-02,0.0,0.0
81654,1270,2020-01-02,0.0,0.0
90153,1270,2020-01-02,0.0,0.0
14769,1270,2020-01-02,0.0,0.0
73952,1270,2020-01-02,0.0,0.0
49521,1270,2020-01-02,0.0,0.0
47364,1270,2020-01-02,0.18,7.45
67431,1270,2020-01-02,0.0,0.0
11635,1270,2020-01-02,0.03,0.6
74174,1270,2020-01-02,0.0,0.0
53399,1270,2020-01-02,0.0,0.0
28324,1270,2020-01-02,0.0,0.0
69863,1270,2020-01-02,0.03,0.3
45005,1270,2020-01-02,0.0,0.0
83848,1270,2020-01-02,0.0,0.0
50129,1270,2020-01-02,0.0,0.0
40967,1270,2020-01-02,0.0,0.0
19184,1270,2020-01-02,0.0,0.0
51340,1270,2020-01-02,0.0,0.0
79547,1270,2020-01-02,0.0,0.0
85682,1270,2020-01-02,0.0,0.0
52758,1270,2020-01-02,0.0,0.0
28199,1270,2020-01-02,0.0,0.0
13496,1270,2020-01-02,0.0,0.0
65277,1270,2020-01-02,0.0,0.0
60051,1270,2020-01-02,0.0,0.0
68139,1270,2020-01-02,0.0,0.0
89267,1270,2020-01-02,0.0,0.0
24711,1270,2020-01-02,0.0,0.0
61945,1270,2020-01-02,0.0,0.0
51569,1270,2020-01-02,0.0,0.0
28504,1270,2020-01-02,0.03,0.3
41587,1270,2020-01-02,0.0,0.0
53366,1270,2020-01-02,0.0,0.0
